Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Barbell Bench Press,2019-12-24,6,154.95640972140325,0.0,0.0,1.0,929.7384583284195
Barbell Bench Press,2020-01-04,4,174.95078516932625,0.0,0.0,1.0,699.803140677305
Barbell Bench Press,2020-01-04,4,174.95078516932625,0.0,0.0,1.0,699.803140677305
Barbell Bench Press,2020-01-04,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2020-01-04,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2020-01-18,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2020-01-18,4,174.95078516932625,0.0,0.0,1.0,699.803140677305
Barbell Bench Press,2020-10-01,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2020-10-01,6,134.96203427348027,0.0,0.0,1.0,809.7722056408816
Barbell Bench Press,2020-10-01,6,134.96203427348027,0.0,0.0,1.0,809.7722056408816
Barbell Bench Press,2020-01-18,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2020-01-18,6,154.95640972140325,0.0,0.0,1.0,929.7384583284195
Barbell Bench Press,2020-01-18,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2020-01-30,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2020-01-30,8,154.95640972140325,0.0,0.0,1.0,1239.651277771226
Barbell Bench Press,2020-01-30,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-10-15,8,174.95078516932625,0.0,0.0,1.0,1399.60628135461
Barbell Bench Press,2020-01-30,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2019-10-15,8,174.95078516932625,0.0,0.0,1.0,1399.60628135461
Barbell Bench Press,2020-01-30,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-12-24,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-12-24,6,154.95640972140325,0.0,0.0,1.0,929.7384583284195
Barbell Bench Press,2019-12-24,6,134.96203427348027,0.0,0.0,1.0,809.7722056408816
Barbell Bench Press,2019-09-12,7,154.95640972140325,0.0,0.0,1.0,1084.6948680498226
Barbell Bench Press,2019-09-12,10,154.95640972140325,0.0,0.0,1.0,1549.5640972140325
Barbell Bench Press,2019-10-15,10,94.97328337763426,0.0,0.0,1.0,949.7328337763427
Barbell Bench Press,2019-09-12,10,154.95640972140325,0.0,0.0,1.0,1549.5640972140325
Barbell Bench Press,2019-09-12,10,154.95640972140325,0.0,0.0,1.0,1549.5640972140325
Barbell Bench Press,2019-09-12,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Barbell Bench Press,2020-01-21,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-10-15,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-10-15,10,154.95640972140325,0.0,0.0,1.0,1549.5640972140325
Barbell Bench Press,2020-01-30,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-10-15,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2020-01-30,8,154.95640972140325,0.0,0.0,1.0,1239.651277771226
Barbell Bench Press,2020-01-30,5,174.95078516932625,0.0,0.0,1.0,874.7539258466313
Barbell Bench Press,2019-09-18,7,174.95078516932625,0.0,0.0,1.0,1224.6554961852837
Barbell Bench Press,2019-09-18,8,174.95078516932625,0.0,0.0,1.0,1399.60628135461
Barbell Bench Press,2019-10-11,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-12-24,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-09-28,10,44.987344757826754,0.0,0.0,1.0,449.87344757826753
Barbell Bench Press,2020-01-21,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2020-01-21,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-09-24,10,134.96203427348027,0.0,0.0,1.0,1349.6203427348028
Barbell Bench Press,2019-09-24,10,134.96203427348027,0.0,0.0,1.0,1349.6203427348028
Barbell Bench Press,2019-09-24,10,134.96203427348027,0.0,0.0,1.0,1349.6203427348028
Barbell Bench Press,2019-09-24,8,94.97328337763426,0.0,0.0,1.0,759.7862670210741
Barbell Bench Press,2020-01-21,8,174.95078516932625,0.0,0.0,1.0,1399.60628135461
Barbell Bench Press,2019-12-24,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-12-24,6,154.95640972140325,0.0,0.0,1.0,929.7384583284195
Barbell Bench Press,2019-12-24,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-09-28,9,154.95640972140325,0.0,0.0,1.0,1394.6076874926293
Barbell Bench Press,2019-09-28,8,154.95640972140325,0.0,0.0,1.0,1239.651277771226
Barbell Bench Press,2019-09-28,8,154.95640972140325,0.0,0.0,1.0,1239.651277771226
Barbell Bench Press,2020-01-23,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2020-01-23,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2020-01-23,7,174.95078516932625,0.0,0.0,1.0,1224.6554961852837
Barbell Bench Press,2020-01-23,6,174.95078516932625,0.0,0.0,1.0,1049.7047110159574
Barbell Bench Press,2019-09-18,10,154.95640972140325,0.0,0.0,1.0,1549.5640972140325
Barbell Bench Press,2019-09-18,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
Barbell Bench Press,2019-10-11,8,134.96203427348027,0.0,0.0,1.0,1079.6962741878422
